Author,Closeness,Betweenness,Centrality
codecov-commenter,0.5,0.13333333333333333,0.5
rchen152,0.3,0.0,0.16666666666666666
daiyip,0.375,0.0,0.3333333333333333
D-X-Y,0.375,0.0,0.3333333333333333
jinsongmu,0.0,0.0,0.0
eltociear,0.0,0.0,0.0
tomvdw,0.0,0.0,0.0
